"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Adderall 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall 7.5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"Adderall XR 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","06/23/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/021303s040lbl.pdf#page=22"
"Adderall XR 15","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021303s042lbl.pdf#page=22"
"Adderall XR 20","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021303s042lbl.pdf#page=22"
"Adderall XR 25","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021303s042lbl.pdf#page=22"
"Adderall XR 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021303s042lbl.pdf#page=22"
"Adderall XR 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021303s042lbl.pdf#page=22"
"Addyi","Flibanserin","TABLET;ORAL","022526","SPROUT PHARMS","09/29/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022526s009lbl.pdf#page=23"
"Adempas","Riociguat","TABLET;ORAL","204819","BAYER HLTHCARE","09/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204819s015lbl.pdf#page=24"
"Adhansia XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","212038","PURDUE PHARMA LP","06/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212038s002lbl.pdf#page=25"
"Adlyxin","Lixisenatide","SOLUTION;SUBCUTANEOUS","208471","SANOFI-AVENTIS US","03/12/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/208471s012lbl.pdf#page=25"
"Aduhelm","Aducanumab-Avwa","INJECTABLE; INJECTION","761178","BIOGEN INC","08/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761178s011lbl.pdf#page=26"
"Adzenys ER","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","204325","NEOS THERAPS INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204325s003lbl.pdf#page=26"
"Adzenys XR-Odt","Amphetamine","TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL","204326","NEOS THERAPS","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204326s020lbl.pdf#page=28"
"Afrezza","Insulin Recombinant Human","POWDER;INHALATION","022472","MANNKIND","05/28/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/022472s029lbl.pdf#page=22"
"Alhemo","Concizumab-Mtci","INJECTABLE;SUBCUTANEOUS","761315","NOVO NORDISK","07/31/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761315s003lbl.pdf#page=12"
"Alhemo","Concizumab-Mtci","INJECTION","761428","NOVO NORDISK INC.","07/31/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761428s000lbl.pdf#page=12"
"Alkindi Sprinkle","Hydrocortisone","GRANULE;ORAL","213876","ETON","06/05/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213876s002lbl.pdf#page=14"
"Alvaiz","Eltrombopag Choline","TABLET;ORAL","216677","TEVA PHARMACEUTICALS","11/29/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216774s000lbl.pdf#page=30"
"Alyftrek","Vanzacaftor, Tezacaftor, Deutivacaftor","TABLET","218730","VERTEX PHARMACEUTICALS INC","03/27/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/218730s001lbl.pdf#page=23"
"Ambien","Zolpidem Tartrate","TABLET;ORAL","019908","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019908s40s044s047lbl.pdf#page=24"
"Ambien CR","Zolpidem Tartrate","TABLET, EXTENDED RELEASE;ORAL","021774","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021774s021s025s028lbl.pdf#page=27"
"Amjevita","Adalimumab-Atto","INJECTABLE;INJECTION","761024","AMGEN INC","10/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761024s026lbl.pdf#page=60"
"Ampyra","Dalfampridine","TABLET, EXTENDED RELEASE;ORAL","022250","ACORDA","11/18/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf#page=13"
"Anafranil","Clomipramine Hydrochloride","CAPSULE;ORAL","019906","SPECGX LLC","05/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019906s043lbl.pdf#page=27"
"Anaprox","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
"Anaprox DS","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","05/13/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","022309","ABBVIE","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022309s022lbl.pdf#page=27"
"Androgel","Testosterone","GEL;TRANSDERMAL","022309","ABBVIE","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022309s022lbl.pdf#page=27"
"Androgel","Testosterone","GEL;TRANSDERMAL","021015","ABBVIE","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021015s047lbl.pdf#page=25"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021015s047lbl.pdf#page=25"
"Ansaid","Flurbiprofen","TABLET;ORAL","018766","PHARMACIA AND UPJOHN","05/09/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018766s015MedGuide.pdf"
"Anzupgo","Delgocitinib","CREAM","219155","LEO PHARMA AS","07/10/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/219155s004lbl.pdf#page=14"
"Apadaz","Acetaminophen; Benzhydrocodone Hydrochloride","TABLET;ORAL","208653","KVK TECH INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208653s008lbl.pdf#page=40"
"Aplenzin","Bupropion Hydrobromide","TABLET, EXTENDED RELEASE;ORAL","022108","BAUSCH","11/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022108s026lbl.pdf#page=28"
