"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Duragesic-50","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duragesic-75","Fentanyl","FILM, EXTENDED RELEASE;TRANSDERMAL","019813","JANSSEN PHARMS","03/04/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019813s081lbl.pdf#page=52"
"Duzallo","Allopurinol; Lesinurad","TABLET;ORAL","209203","IRONWOOD PHARMS INC","08/18/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209203s000lbl.pdf#page=27"
"Dyanavel XR","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","208147","TRIS PHARMA INC","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208147s018,210526s010lbl.pdf#page=21"
"Dyanavel XR 10","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208147s018,210526s010lbl.pdf#page=21"
"Dyanavel XR 15","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208147s018,210526s010lbl.pdf#page=21"
"Dyanavel XR 20","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208147s018,210526s010lbl.pdf#page=21"
"Dyanavel XR 5","Amphetamine; Amphetamine Aspartate/Dextroamphetamine Sulfate","TABLET, EXTENDED RELEASE;ORAL","210526","TRIS PHARMA INC","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208147s018,210526s010lbl.pdf#page=21"
"Dysport","Abobotulinumtoxina","INJECTABLE; INJECTION","125274","IPSEN BIOPHARM LTD","09/21/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125274s125lbl.pdf#page=30"
"EC-Naprosyn","Naproxen","TABLET, DELAYED RELEASE;ORAL","020067","ATNAHS PHARMA US","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
"Eculizumab","Eculizumab","SOLUTION","761333","KAI PHARMACEUTICALS INC","11/24/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761333s005lbl.pdf#page=31"
"Eculizumab-Aagh","Eculizumab-Aagh","INJECTABLE;INTRAVENOUS","761340","SAMSUNG BIOEPIS CO","11/28/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761340s000_Orig2lbl.pdf#page=31"
"Edluar","Zolpidem Tartrate","TABLET;SUBLINGUAL","021997","MYLAN SPECIALITY LP","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021997s011lbl.pdf#page=23"
"Effexor","Venlafaxine Hydrochloride","TABLET;ORAL","020151","WYETH PHARMS INC","12/12/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020151s031s055s058s060lbl.pdf#page=34"
"Effexor XR","Venlafaxine Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","020699","UPJOHN","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020699s118lbl.pdf#page=41"
"Effient","Prasugrel Hydrochloride","TABLET;ORAL","022307","DAIICHI SANKYO INC","12/22/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022307s018lbl.pdf#page=21"
"Elepsia XR","Levetiracetam","TABLET, EXTENDED RELEASE;ORAL","204417","TRIPOINT","03/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204417s004lbl.pdf#page=25"
"Elidel","Pimecrolimus","CREAM;TOPICAL","021302","BAUSCH","06/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088587.pdf"
"Eliquis","Apixaban","TABLET;ORAL","202155","BRISTOL MYERS SQUIBB","10/12/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202155s034lbl.pdf#page=38"
"Elmiron","Pentosan Polysulfate Sodium","CAPSULE;ORAL","020193","JANSSEN PHARMS","03/12/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020193s015lbl.pdf#page=11"
"Elrexfio","Elranatamab-Bcmm","INJECTABLE; SUBCUTANEOUS","761345","PFIZER","02/19/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761345s007lbl.pdf#page=22"
"Elucirem","Gadopiclenol","INJECTABLE;INTRAVENOUS","216986","LIEBEL-FLARSHEIM COMPANY","02/20/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/216986s009lbl.pdf#page=20"
"Elyxyb","Celecoxib","SOLUTION;ORAL","212157","BDSI","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/212157s003lbl.pdf#page=26"
"Embeda","Morphine Sulfate; Naltrexone Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","022321","ALPHARMA PHARMS","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022321s030lbl.pdf#page=30"
"Empavel","Pegcetacoplan","INJECTABLE;SUBCUTANEOUS","215014","APELLIS PHARMACEUTICALS","06/12/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/215014s010lbl.pdf#page=19"
"Emrelis","Teliosotuzumab Vedotin-Tllv","INJECTABLE;INTRAVENOUS","761384","ABBVIE","05/14/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761384s000lbl.pdf#page=19"
"Emsam","Selegiline","FILM, EXTENDED RELEASE;TRANSDERMAL","021336","SOMERSET","07/14/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021336s014lbl.pdf#page=34"
"Enbrel","Etanercept","VIAL; SUBCUTANEOUS","103795","IMMUNEX","01/30/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/103795s5605lbl.pdf#page=33"
"Enbrel","Etanercept","SYRINGE","103795","IMMUNEX","01/30/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/103795s5605lbl.pdf#page=33"
"Enhertu","Fam-Trastuzumab Deruxtecan-Nxki","INJECTABLE;INJECTION","761139","DAIICHI SANKYO","05/18/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761139s041s043lbl.pdf#page=65"
"Enjaymo","Sutimlimab-Jome","INJECTABLE;INJECTION","761164","NULL","02/08/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761164s000lbl.pdf#page=13"
"Enspryng","Satralizumab-Mwge","INJECTABLE;SUBCUTANEOUS","761149","GENETECH, INC","09/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761149s005lbl.pdf#page=16"
"Entyvio","Vedolizumab","INJECTABLE;INTRAVENOUS","761133","TAKEDA PHARMACEUTICALS USA INC","04/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Entyvio","Vedolizumab","INJECTABLE;SUBCUTANEOUS","761133","TAKEDA PHARMACEUTICALS USA INC","04/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Entyvio","Vedolizumab","INJECTABLE;INJECTION","125476","TAKEDA PHARMS USA","04/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125476s038s039lbl.pdf#page=20"
"Entyvio Pen","Vedolizumab","INJECTABLE;SUBCUTANEOUS","761133","TAKEDA PHARMACEUTICALS USA INC","04/18/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761133s000lbl.pdf#page=23"
"Envarsus XR","Tacrolimus","TABLET, EXTENDED RELEASE;ORAL","206406","VELOXIS PHARMS INC","04/08/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206406s010lbl.pdf#page=29"
"Eovist","Gadoxetate Disodium","SOLUTION;INTRAVENOUS","022090","BAYER HLTHCARE","03/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022090s027lbl.pdf#page=15"
"Epidiolex","Cannabidiol","SOLUTION;ORAL","210365","GW RES LTD","06/26/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/210365s023lbl.pdf#page=26"
"Epkinly","Epcoritamab-Bysp","INJECTABLE;SUBCUTANEOUS","761324","GENMAB US","03/27/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761324s010lbl.pdf#page=45"
"Epogen","Epoetin Alfa","VIAL; SINGLE-USE","103234","AMGEN","04/30/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/103234s5363s5366lbl.pdf#page=27"
"Eprontia","Topiramate","SOLUTION","214679","AZURITY PHARMACEUTICALS INC","03/06/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/214679s012lbl.pdf#page=51"
"Epzicom","Abacavir Sulfate; LAmivudine","TABLET;ORAL","021652","VIIV HLTHCARE","12/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021652s029lbl.pdf#page=28"
"Equetro","Carbamazepine","CAPSULE, EXTENDED RELEASE;ORAL","021710","VALIDUS PHARMS","10/14/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021710s018lbl.pdf#page=27"
"Erelzi","Etanercept-Szzs","INJECTABLE; INJECTION","761042","SANDOZ","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761042s018lbl.pdf#page=41"
"Erivedge","Vismodegib","CAPSULE;ORAL","203388","GENENTECH","03/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203388s017lbl.pdf#page=15"
"Escitalopram","Escitalopram","CAPSULE","219130","ALMATICA PHARMA LLC","08/29/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219130s000lbl.pdf#page=28"
"Esomeprazole Strontium","Esomeprazole Strontium","CAPSULE, DELAYED RELEASE;ORAL","202342","BELCHER","03/04/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202342s007lbl.pdf#page=29"
"Estazolam","Estazolam","TABLET;ORAL","074921","MAYNE PHARMA","02/05/2021","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM359235.pdf"
"Eticovo","Etanercept-Ykro","INJECTABLE;INJECTION","761066","SAMSUNG BIOEPIS CO LTD","05/03/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761066s000lbl.pdf#page=31"
"Evekeo ODT","Amphetamine Sulfate","TABLET, ORALLY DISINTEGRATING;ORAL","209905","ARBOR PHARMS LLC","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209905s004lbl.pdf#page=16"
"Evenity","Romosozumab-Aqqg","INJECTABLE;INJECTION","761062","AMGEN INC","12/20/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761062s000lbl.pdf#page=19"
"Evista","Raloxifene Hydrochloride","TABLET; ORAL","022042","LILLY","09/13/2007","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Evista","Raloxifene Hydrochloride","TABLET;ORAL","020815","LILLY","06/27/2018","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088593.pdf"
"Exalgo","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","021217","SPECGX LLC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf#page=31"
"Exjade","Deferasirox","TABLET, FOR SUSPENSION;ORAL","021882","NOVARTIS","07/23/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021882s033lbl.pdf#page=28"
"Extavia","Interferon Beta-1b","INJECTABLE; SUBCUTANEOUS","125290","NOVARTIS PHARMS","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125290s074lbl.pdf#page=16"
"Fabhalta","Iptacopan","CAPSULE;ORAL","218276","NOVARTIS PHARMACEUTICALS","07/21/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/218276s007lbl.pdf#page=22"
"Factive","Gemifloxacin Mesylate","TABLET;ORAL","021158","LG CHEM LTD","07/26/2016","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021158s026lbl.pdf#page=30"
"Farxiga","Dapagliflozin","TABLET;ORAL","202293","ASTRAZENECA AB","06/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202293s030lbl.pdf#page=53"
"Farydak","Panobinostat LActate","CAPSULE;ORAL","205353","SECURA","06/06/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM436377.pdf"
"Felbatol","Felbamate","TABLET;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Felbatol","Felbamate","SUSPENSION;ORAL","020189","MYLAN SPECIALITY LP","08/31/2012","http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020189s027mg.pdf"
"Feldene","Piroxicam","CAPSULE;ORAL","018147","PFIZER","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018147s050lbl.pdf#page=21"
"Fensolvi Kit","Leuprolide Acetate","POWDER;SUBCUTANEOUS","213150","TOLMAR","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/213150s011lbl.pdf#page=16"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","077312","PAR PHARM","09/07/2017","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/077312MedGuide.pdf"
"Fentanyl Citrate","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","078907","SPECGX LLC","12/03/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/078907MedGuide.pdf"
"Fentora","Fentanyl Citrate","TABLET;BUCCAL, SUBLINGUAL","021947","CEPHALON","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021947s043lbl.pdf#page=43"
"Ferriprox","Deferiprone","TABLET;ORAL","212269","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212269s003lbl.pdf#page=17"
"Ferriprox","Deferiprone","TABLET;ORAL","021825","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021825s010lbl.pdf#page=17"
"Ferriprox","Deferiprone","SOLUTION;ORAL","208030","CHIESI","11/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208030s007lbl.pdf#page=13"
"Fetzima","Levomilnacipran Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","204168","ALLERGAN","04/19/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204168s011lbl.pdf#page=29"
"Filspari","Sparsentan","TABLET;ORAL","216403","TRAVERE THERAPEUTICS","04/13/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/216403s006lbl.pdf#page=28"
"Fintepla","Fenfluramine Hydrochloride","SOLUTION;ORAL","212102","ZOGENIX INC","10/15/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/212102s017lbl.pdf#page=30"
"Fioricet W/ Codeine","Acetaminophen; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","020232","ACTAVIS LABS UT INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020232s047lbl.pdf#page=44"
"Fiorinal W/Codeine","Aspirin; Butalbital; Caffeine; Codeine Phosphate","CAPSULE;ORAL","019429","ALLERGAN","04/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019429s043lbl.pdf#page=39"
"Firdapse","Amifampridine Phosphate","TABLET;ORAL","208078","CATALYST PHARMS","07/17/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208078s015lbl.pdf#page=12"
"Flector","Diclofenac Epolamine","SYSTEM;TOPICAL","021234","INST BIOCHEM","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021234s024lbl.pdf#page=24"
"Flowtuss","Guaifenesin; Hydrocodone Bitartrate","SOLUTION;ORAL","022424","BKK PHARMS","12/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022424s004lbl.pdf#page=23"
"Floxin","Ofloxacin","TABLET;ORAL","019735","JANSSEN PHARMS","02/25/2011","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019735s061MedG.pdf"
"Fluoxetine Hydrochloride","Fluoxetine Hydrochloride","TABLET;ORAL","202133","ALMATICA","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/202133s009s016lbl.pdf#page=36"
"Focalin","Dexmethylphenidate Hydrochloride","TABLET;ORAL","021278","NOVARTIS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021278s028s031lbl.pdf#page=17"
"Focalin XR","Dexmethylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","021802","NOVARTIS","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021802s045lbl.pdf#page=23"
"Foradil","Formoterol Fumarate","POWDER;INHALATION","020831","NOVARTIS","03/02/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088602.pdf"
"Foradil Certihaler","Formoterol Fumarate","POWDER;INHALATION","021592","NOVARTIS","06/02/2010","https://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021592s003lbl.pdf#page=35"
"Forfivo XL","Bupropion Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022497","ALMATICA","11/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022497s018lbl.pdf#page=32"
"Forteo","Teriparatide","SOLUTION;SUBCUTANEOUS","021318","LILLY","08/11/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/021318s059lbl.pdf#page=17"
"Fortesta","Testosterone","GEL, METERED;TRANSDERMAL","021463","ENDO PHARMS","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021463s029lbl.pdf#page=23"
"Fosamax","Alendronate Sodium","SOLUTION;ORAL","021575","MERCK","11/30/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020560s068,021575s024lbl.pdf#page=24"
"Fosamax","Alendronate Sodium","TABLET;ORAL","020560","MERCK AND CO INC","02/03/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/020560s073lbl.pdf#page=25"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","02/03/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/021762s027lbl.pdf#page=24"
"Fosamax Plus D","Alendronate Sodium; Cholecalciferol","TABLET;ORAL","021762","ORGANON","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021762s022lbl.pdf#page=23"
"Foscarbidopa and Foslevodopa","Foscarbidopa, Foslevodopa","INJECTION, SOLUTION","216962","ABBVIE INC","03/19/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/216962s007lbl.pdf#page=21"
"Fosrenol","Lanthanum Carbonate","POWDER;ORAL","204734","TAKEDA PHARMS USA","08/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/204734s007,021468s025lbl.pdf#page=12"
"Fosrenol","Lanthanum Carbonate","TABLET, CHEWABLE;ORAL","021468","TAKEDA PHARMS USA","08/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/204734s007,021468s025lbl.pdf#page=12"
"Foundayo","Orforglipron","TABLET","220934","ELI LILLY AND COMPANY","08/04/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/220934s003lbl.pdf#page=24"
"Fycompa","Perampanel","TABLET;ORAL","202834","EISAI INC","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202834s016,208277s004lbl.pdf#page=24"
"Fycompa","Perampanel","SUSPENSION;ORAL","208277","EISAI INC","02/23/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208277s005lbl.pdf#page=24"
"Gabitril","Tiagabine Hydrochloride","TABLET;ORAL","020646","CEPHALON","08/09/2016","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229203.pdf"
"Gadavist","Gadobutrol","SOLUTION;INTRAVENOUS","201277","BAYER HLTHCARE","02/13/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/201277s025lbl.pdf#page=23"
"Gattex Kit","Teduglutide Recombinant","POWDER;SUBCUTANEOUS","203441","NPS PHARMS INC","09/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/203441s024lbl.pdf#page=36"
"Gilenya","Fingolimod Hydrochloride","CAPSULE;ORAL","022527","NOVARTIS","08/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022527s044lbl.pdf#page=26"
"Gimoti","Metoclopramide Hydrochloride","SPRAY, METERED;NASAL","209388","EVOKE PHARMA INC","01/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/209388s001lbl.pdf#page=17"
"Gloperba","Colchicine","SOLUTION;ORAL","210942","ROMEG","08/28/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210942s002lbl.pdf#page=14"
"Glyxambi","Empagliflozin; Linagliptin","TABLET;ORAL","206073","BOEHRINGER INGELHEIM","10/24/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/206073s044lbl.pdf#page=34"
"Golytely","Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Sulfate Anhydrous","FOR SOLUTION;ORAL","019011","BRAINTREE","05/14/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/019011s033lbl.pdf#page=9"
"Gralise","Gabapentin","TABLET;ORAL","022544","ALMATICA","04/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022544Orig1s029lbl.pdf#page=21"
"H.P. Acthar Gel","Repository Corticotropin","INJECTABLE; INJECTION","022432","QUESTCOR PHARMA","10/15/2010","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM231714.pdf"
"Hadlima","Adalimumab-Bwwd","INJECTABLE;INJECTION","761059","SAMSUNG BIOEPIS CO LTD","10/17/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761059s032lbl.pdf#page=45"
"Halcion","Triazolam","TABLET;ORAL","017892","PFIZER","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017892s057lbl.pdf#page=20"
"Halflytely","Bisacodyl; Polyethylene Glycol 3350; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride","FOR SOLUTION, TABLET, DELAYED RELEASE;ORAL","021551","BRAINTREE","06/03/2013","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM220644.pdf"
"Hemangeol","Propranolol Hydrochloride","SOLUTION;ORAL","205410","PIERRE FABRE DERMA","06/22/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/205410s006lbl.pdf#page=11"
"Hemlibra","Emicizumab","INJECTABLE;INJECTION","761083","GENENTECH INC","07/08/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761083s020lbl.pdf#page=25"
"Horizant","Gabapentin Enacarbil","TABLET, EXTENDED RELEASE;ORAL","022399","ARBOR PHARMS LLC","04/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022399s010lbl.pdf#page=27"
"Hulio","Adalimumab-Fkjp","INJECTABLE;INJECTION","761154","MYLAN PHARMS INC","02/05/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761154s009lbl.pdf#page=45"
"Humira","Adalimumab","SYRINGE","125057","ABBVIE INC","07/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/125057s424lbl.pdf#page=59"
"Humira","Adalimumab","VIAL","125057","ABBVIE INC","07/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/125057s424lbl.pdf#page=59"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","TABLET;ORAL","005213","GENUS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005213s046lbl.pdf#page=27"
"Hycodan","Homatropine METhylbromide; Hydrocodone Bitartrate","SYRUP;ORAL","005213","GENUS","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/005213s046lbl.pdf#page=27"
"Hycofenix","Hydrocodone Bitartrate;Pseudoephedrine Hydrochloride;Guaifenesin","SOLUTION;ORAL","022279","BKK PHARMACEUTICALS","12/22/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022279s004lbl.pdf#page=26"
"Hydromorphone Hydrochloride","Hydromorphone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","204278","PADAGIS US","03/04/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/204278Orig1s000MG.pdf"
"Hyrimoz","Adalimumab-Adaz","INJECTABLE;INJECTION","761071","SANDOZ INC","10/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761071s031lbl.pdf#page=50"
"Hysingla ER","Hydrocodone Bitartrate","TABLET, EXTENDED RELEASE;ORAL","206627","PURDUE PHARMA LP","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206627s015lbl.pdf#page=40"
"Ibsrela","Tenapanor Hydrochloride","TABLET;ORAL","211801","ARDELYX INC","05/20/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/211801s014lbl.pdf#page=14"
"Iclusig","Ponatinib Hydrochloride","TABLET;ORAL","203469","TAKEDA PHARMS USA","10/10/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/203469s038lbl.pdf#page=43"
"Idacio","Adalimumab-Aacf","INJECTABLE;SUBCUTANEOUS","761255","FRESENIUS KABI USA","06/04/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761255s004lbl.pdf#page=48"
"Idhifa","Enasidenib Mesylate","TABLET;ORAL","209606","CELGENE CORP","01/16/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209606s007lbl.pdf#page=18"
"Ilaris","Canakinumab","INJECTABLE; SUBCUTANEOUS","125319","NOVARTIS PHARMS","08/25/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125319s107lbl.pdf#page=24"
"Ilumya","Tildrakizumab-Asmn","INJECTABLE;INJECTION","761067","SUN PHARMA GLOBAL","07/21/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761067s007lbl.pdf#page=15"
"Imdelltra","Tarlatamab","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","761344","AMGEN INC","11/19/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761344s001lbl.pdf#page=36"
"Imfinzi","Durvalumab","INJECTABLE;INJECTION","761069","ASTRAZENECA UK LTD","05/28/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/761069s053lbl.pdf#page=88"
"Imipramine Hydrochloride","Imipramine Hydrochloride","TABLET;ORAL","087846","SPECGX LLC","06/29/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/087846s028,087844s027,087845s027lbl.pdf#page=3"
"Imjudo","Tremelimumab-Actl","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","761270","ASTRAZENECA","11/10/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761270s000lbl.pdf#page=32"
"Imjudo","Tremelimumab-Actl","INJECTABLE;INTRAVENOUS","761289","ASTRAZENECA","01/25/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761289s002lbl.pdf#page=31"
